transaction_id,transaction_date,customer_id,product_category,product_name,quantity,unit_price,revenue,store_location
TXN00000012,2025-03-04 22:09:24.577200,CUST000791,Smartphone,Samsung Galaxy S23,1,28900,28900,Siam Paragon
TXN00000101,2025-03-04 22:09:24.591253,CUST000608,Coffee,Americano,1,95,95,Central Festival Phuket
TXN00000104,2025-03-04 22:09:24.591683,CUST000809,Coffee,Americano,3,95,285,Central World
TXN00000201,2025-03-04 22:09:24.607287,CUST000586,Smartphone,Samsung Galaxy S23,1,28900,28900,Siam Paragon
TXN00000312,2025-03-04 22:09:24.628059,CUST000132,Smartphone,OPPO Reno8,1,15990,15990,Siam Paragon
TXN00000326,2025-03-04 22:09:24.630122,CUST000064,Food,Sandwich,1,145,145,Central Chiang Mai
TXN00000395,2025-03-04 22:09:24.640074,CUST000198,Coffee,Latte,1,115,115,Terminal 21
TXN00000467,2025-03-04 22:09:24.650099,CUST000982,Coffee,Latte,3,115,345,Siam Paragon
TXN00000478,2025-03-04 22:09:24.651560,CUST000792,Smartphone,iPhone 14,1,32900,32900,Central Festival Phuket
TXN00000593,2025-03-04 22:09:24.667076,CUST000294,Accessories,Phone Case,1,390,390,MBK Center
TXN00000604,2025-03-04 22:09:24.668585,CUST000611,Coffee,Cappuccino,1,110,110,Central Chiang Mai
TXN00000699,2025-03-04 22:09:24.685308,CUST000422,Accessories,Screen Protector,1,290,290,MBK Center
TXN00000747,2025-03-04 22:09:24.691992,CUST000549,Food,Sandwich,1,145,145,Siam Paragon
TXN00000982,2025-03-04 22:09:24.733897,CUST000479,Food,Croissant,1,95,95,MBK Center
TXN00001156,2025-03-04 22:09:24.757605,CUST000868,Food,Sandwich,3,145,435,Terminal 21
TXN00001197,2025-03-04 22:09:24.763214,CUST000176,Smartphone,iPhone 14,1,32900,32900,Siam Paragon
TXN00001205,2025-03-04 22:09:24.764306,CUST000042,Coffee,Americano,1,95,95,Siam Paragon
TXN00001230,2025-03-04 22:09:24.767657,CUST000418,Smartphone,iPhone 14,1,32900,32900,Central Chiang Mai
TXN00001360,2025-03-04 22:09:24.784938,CUST000490,Smartphone,Samsung Galaxy S23,1,28900,28900,Terminal 21
TXN00001370,2025-03-04 22:09:24.786240,CUST000615,Food,Sandwich,1,145,145,Central World
TXN00001398,2025-03-04 22:09:24.789923,CUST000188,Coffee,Cappuccino,1,110,110,Terminal 21
TXN00001419,2025-03-04 22:09:24.792681,CUST000638,Smartphone,OPPO Reno8,1,15990,15990,Central Festival Phuket
TXN00001633,2025-03-04 22:09:24.821370,CUST000833,Coffee,Latte,1,115,115,Central Chiang Mai
TXN00001675,2025-03-04 22:09:24.827183,CUST000098,Accessories,Phone Case,1,390,390,Central World
TXN00001705,2025-03-04 22:09:24.831235,CUST000133,Accessories,Wireless Charger,2,1290,2580,Terminal 21
TXN00001715,2025-03-04 22:09:24.832614,CUST000256,Coffee,Latte,2,115,230,Siam Paragon
TXN00001716,2025-03-04 22:09:24.832747,CUST000228,Coffee,Latte,1,115,115,Central Chiang Mai
TXN00001880,2025-03-04 22:09:24.854992,CUST000507,Food,Croissant,2,95,190,Central Festival Phuket
TXN00001946,2025-03-04 22:09:24.863636,CUST000947,Smartphone,Samsung Galaxy S23,1,28900,28900,Central Chiang Mai
TXN00001958,2025-03-04 22:09:24.865234,CUST000396,Food,Croissant,2,95,190,Central Chiang Mai
TXN00001977,2025-03-04 22:09:24.867740,CUST000521,Accessories,Wireless Charger,1,1290,1290,Siam Paragon
TXN00001982,2025-03-04 22:09:24.868400,CUST000381,Food,Croissant,2,95,190,Central Festival Phuket
TXN00001991,2025-03-04 22:09:24.869676,CUST000010,Coffee,Latte,1,115,115,Terminal 21
TXN00002013,2025-03-04 22:09:24.872610,CUST000951,Accessories,Screen Protector,1,290,290,Siam Paragon
TXN00002017,2025-03-04 22:09:24.873136,CUST000306,Coffee,Cappuccino,3,110,330,Central World
TXN00002177,2025-03-04 22:09:24.896201,CUST000596,Beverage,Green Tea,1,85,85,MBK Center
TXN00002375,2025-03-04 22:09:24.923049,CUST000709,Accessories,Wireless Charger,1,1290,1290,MBK Center
TXN00002444,2025-03-04 22:09:24.932902,CUST000333,Food,Croissant,1,95,95,Central Chiang Mai
TXN00002624,2025-03-04 22:09:24.957113,CUST000892,Smartphone,OPPO Reno8,1,15990,15990,Siam Paragon
TXN00002683,2025-03-04 22:09:24.964915,CUST000617,Accessories,Phone Case,1,390,390,Terminal 21
TXN00002799,2025-03-04 22:09:24.980493,CUST000675,Food,Croissant,3,95,285,Central World
